questions,answers
What are the symptoms of COVID-19?,"The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients   may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These   symptoms are usually mild and begin gradually. Some people become infected but don’t   develop any symptoms and don't feel unwell. Most people (about 80%) recover from the   disease without needing special treatment. Around 1 out of every 6 people who gets COVID-19   becomes seriously ill and develops difficulty breathing. Older people, and those with underlying   medical problems like high blood pressure, heart problems or diabetes, are more likely to   develop serious illness. People with fever, cough and difficulty breathing should seek medical   attention."
How do I know if it is COVID-19 or just the common flu?,"A COVID-19 infection has the same signs and symptoms as the common cold and you can only   differentiate them through laboratory testing to determine the virus type. If you have fever, cough   and difficulty breathing, you should seek medical attention and immediately isolate yourself from   others. Call your local UN clinic/medical facility to inform them of your condition and relevant   travel/exposure history. If you had been identified as a close contact of a case by the local   Ministry of Health or WHO, please also indicate this. From here you will be advised if a medical   assessment is necessary and how to get tested."
Can the virus that causes COVID-19 be transmitted through the air?,Studies to date suggest that the virus that causes COVID-19 is mainly transmitted through   contact with respiratory droplets rather than through the air. See previous answer on “How   does COVID-19 spread?”
What can I do to protect myself and prevent the spread of disease?,"Protection measures for everyone   Stay aware of the latest information on the COVID-19 outbreak, available on the WHO website   and through your national and local public health authority. Many countries around the world   have seen cases of COVID-19 and several have seen outbreaks. Authorities in China and some   other countries have succeeded in slowing or stopping their outbreaks. However, the situation is   unpredictable so check regularly for the latest news. You can reduce your chances of being infected or spreading COVID-19 by taking some simple precautions:     Regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them     with soap and water. Why? Washing your hands with soap and water or using alcohol-based     hand rub kills viruses that may be on your hands.     Maintain at least 1 meter (3 feet) distance between yourself and anyone who is coughing or     sneezing. Why? When someone coughs or sneezes, they spray small liquid droplets from     their nose or mouth which may contain virus. If you are too close, you can breathe in the     droplets, including the COVID-19 virus if the person coughing has the disease.     Avoid touching eyes, nose and mouth. Why? Hands touch many surfaces and can pick up     viruses. Once contaminated, hands can transfer the virus to your eyes, nose or mouth. From     there, the virus can enter your body and can make you sick.     Make sure you, and the people around you, follow good respiratory hygiene. This means     covering your mouth and nose with your bent elbow or tissue when you cough or sneeze.     Then dispose of the used tissue immediately. Why? Droplets spread virus. By following     good respiratory hygiene, you protect the people around you from viruses such as cold, flu     and COVID-19.     Stay home if you feel unwell. If you have a fever, cough and difficulty breathing, seek     medical attention and call in advance. Follow the directions of your local health authority.     Why? National and local authorities will have the most up to date information on the     situation in your area. Calling in advance will allow your health care provider to quickly     direct you to the right health facility. This will also protect you and help prevent spread of     viruses and other infections.     Keep up to date on the latest COVID-19 hotspots (cities or local areas where COVID-19 is     spreading widely). If possible, avoid traveling to places – especially if you are an older     person or have diabetes, heart or lung disease. Why? You have a higher chance of catching     COVID-19 in one of these areas."
I am well and asymptomatic. Should I use a mask?,"According to the WHO, for individuals without respiratory symptoms, a medical mask is not required, as no evidence is available on its usefulness to protect non-sick persons. However, masks might be worn in some countries according to local cultural habits. If masks are used, best practices should be followed on how to wear, remove, and dispose of them and on hand hygiene action after removal. For more information, visit the WHO guidance on use of masks in the community."
How likely am I to catch COVID-19?,"The risk depends on where you are - and more specifically, whether there is a COVID-19 outbreak unfolding there. For most people in most locations the risk of catching COVID-19 is still low. However, there are now places around the world (cities or areas) where the disease is spreading. For people living in, or visiting, these areas the risk of catching COVID-19 is higher. Governments and health authorities are taking vigorous action every time a new case of COVID-19 is identified. Be sure to comply with any local restrictions on travel, movement or large gatherings. Cooperating with disease control efforts will reduce your risk of catching or spreading COVID-19. COVID-19 outbreaks can be contained and transmission stopped, as has been shown in China and some other countries. Unfortunately, new outbreaks can emerge rapidly. It’s important to be aware of the situation where you are or intend to go. WHO publishes daily updates on the COVID-19 situation worldwide. You can see these at https://www.who.int/emergencies/diseases/novel-coronavirus- 2019/situation-reports/"
Are pregnant women more susceptible to the COVID-19 virus and will it harm the       fetus?,"We do not have information from published scientific reports about the susceptibility of pregnant women to COVID-19. Pregnant women experience immunologic and physiologic changes, which might make them more susceptible to viral respiratory infections, including COVID-19. The virus that causes COVID-19 is thought to spread mainly by close contact with an infected person through respiratory droplets. Whether a pregnant woman with COVID-19 can transmit the virus that causes COVID-19 to her fetus or neonate by other routes of vertical transmission (before, during, or after delivery) is still unknown."
What is the risk of my child becoming sick with COVID-19?,"Based on available evidence, children do not appear to be at higher risk for COVID-19 than adults. While some children and infants have been sick with COVID-19, adults make up most of the known cases to date. You can learn more about who is most at risk for health problems if they have COVID-19 infection on CDC’s current Risk Assessment page."
Are the symptoms of COVID-19 different in children than in adults?,"No. The symptoms of COVID-19 are similar in children and adults. However, children with confirmed COVID-19 have generally presented with mild symptoms. Reported symptoms in children include cold-like symptoms, such as fever, runny nose, and cough. Vomiting and diarrhea have also been reported. It’s not known yet whether some children may be at higher risk for severe illness, for example, children with underlying medical conditions and special healthcare needs. There is much more to be learned about how the disease impacts children."
Should I worry about COVID-19?,"Illness due to COVID-19 infection is generally mild, especially for children and young adults. However, it can cause serious illness: about 1 in every 5 people who catch it need hospital care. It is therefore quite normal for people to worry about how the COVID-19 outbreak will affect them and their loved ones. We can channel our concerns into actions to protect ourselves, our loved ones and our communities. First and foremost, among these actions is regular and thorough hand-washing and good respiratory hygiene. Secondly, keep informed and follow the advice of the local health authorities including any restrictions put in place on travel, movement and gatherings."
Who is at risk of developing severe illness?,"While we are still learning about how COVID-2019 affects people, older persons and persons with pre-existing medical conditions (such as high blood pressure, heart disease, lung disease, cancer or diabetes) appear to develop serious illness more often than others."
